iter	Passed	Remaining
0	7	5706
1	14	5614
2	20	5333
3	26	5214
4	33	5270
5	39	5293
6	46	5223
7	52	5174
8	59	5214
9	67	5301
10	74	5307
11	80	5313
12	87	5316
13	94	5292
14	100	5278
15	107	5279
16	114	5254
17	121	5278
18	128	5266
19	134	5251
20	141	5265
21	148	5245
22	155	5248
23	161	5209
24	167	5181
25	173	5162
26	180	5167
27	185	5126
28	191	5100
29	198	5097
30	203	5047
31	210	5046
32	217	5053
33	224	5047
34	230	5045
35	237	5043
36	244	5044
37	251	5043
38	258	5050
39	265	5043
40	271	5030
41	277	5013
42	284	5014
43	291	5011
44	297	4993
45	303	4974
46	310	4967
47	317	4968
48	324	4968
49	331	4967
50	337	4962
51	344	4958
52	352	4967
53	358	4957
54	365	4956
55	372	4951
56	379	4945
57	386	4938
58	393	4938
59	401	4955
60	409	4965
61	416	4962
62	423	4957
63	429	4940
64	436	4940
65	438	4877
66	445	4878
67	452	4873
68	458	4860
69	465	4851
70	472	4848
71	478	4842
72	485	4835
73	493	4838
74	499	4825
75	505	4815
76	512	4810
77	518	4796
78	524	4785
79	530	4777
80	537	4769
81	545	4773
82	553	4782
83	561	4784
84	568	4781
85	574	4772
86	581	4768
87	588	4765
88	596	4766
89	603	4764
90	611	4761
91	617	4749
92	623	4741
93	629	4729
94	636	4721
95	642	4714
96	648	4702
97	654	4690
98	660	4680
99	668	4676
100	674	4666
101	680	4658
102	687	4650
103	694	4646
104	700	4639
105	707	4632
106	713	4622
107	720	4613
108	726	4604
109	732	4597
110	739	4587
111	744	4574
112	751	4568
113	758	4562
114	764	4553
115	771	4549
116	778	4547
117	786	4543
118	793	4538
119	800	4533
120	806	4524
121	812	4514
122	818	4506
123	824	4495
124	831	4489
125	837	4482
126	844	4474
127	851	4470
128	858	4463
129	865	4458
130	871	4451
131	879	4448
132	886	4444
133	891	4433
134	898	4424
135	904	4416
136	913	4420
137	918	4408
138	925	4402
139	932	4396
140	939	4390
141	942	4365
142	949	4360
143	956	4356
144	964	4355
145	970	4348
146	976	4339
147	984	4336
148	991	4333
149	998	4326
150	1003	4314
151	1010	4308
152	1016	4300
153	1023	4292
154	1030	4287
155	1036	4278
156	1042	4270
157	1050	4268
158	1056	4260
159	1063	4252
160	1069	4246
161	1076	4238
162	1083	4232
163	1090	4227
164	1096	4220
165	1103	4216
166	1111	4213
167	1118	4207
168	1125	4202
169	1132	4196
170	1138	4189
171	1144	4179
172	1150	4171
173	1157	4163
174	1163	4155
175	1169	4146
176	1175	4137
177	1181	4130
178	1188	4124
179	1195	4117
180	1202	4110
181	1208	4102
182	1214	4094
183	1221	4088
184	1227	4080
185	1233	4072
186	1239	4064
187	1246	4057
188	1252	4049
189	1259	4042
190	1265	4035
191	1272	4029
192	1279	4024
193	1285	4014
194	1292	4008
195	1298	4000
196	1304	3991
197	1309	3982
198	1316	3976
199	1323	3970
200	1331	3968
201	1339	3966
202	1347	3962
203	1351	3948
204	1358	3942
205	1364	3934
206	1372	3930
207	1377	3921
208	1384	3914
209	1390	3907
210	1398	3902
211	1402	3890
212	1409	3883
213	1415	3877
214	1422	3869
215	1428	3863
216	1435	3856
217	1442	3851
218	1448	3842
219	1455	3837
220	1461	3829
221	1467	3821
222	1474	3815
223	1480	3805
224	1486	3797
225	1493	3792
226	1499	3784
227	1506	3778
228	1513	3773
229	1520	3768
230	1527	3763
231	1534	3757
232	1541	3750
233	1547	3742
234	1554	3737
235	1560	3730
236	1566	3721
237	1573	3714
238	1579	3707
239	1586	3702
240	1594	3698
241	1601	3692
242	1608	3686
243	1614	3679
244	1621	3673
245	1628	3666
246	1634	3660
247	1641	3653
248	1648	3647
249	1655	3641
250	1661	3634
251	1667	3627
252	1674	3620
253	1681	3614
